GeneID,log2FC,Padj,Entrez_gene_ID,Uniprot,KEGG,GO_process,GO_function,Pfam,Full Name,EC,PROSITE
CICLE_v10000026mg,-0.96198402954969,0.0408352907417974,18042740.0,V4SZQ7, cic:CICLE_v10000026mg -.,nuclear pore IEA,structural constituent of nuclear pore IEA," PF17238 NUP160_helical_2 1.,  PF11715 Beta-prop_Nup120_160 1.,  PF23354 TPR_NUP160_120_M 1.,  PF23347 TPR_Nup160_C 1.",,,
CICLE_v10000062mg,0.938230044302119,0.0146809009781383,18040165.0,"V4TGA4, V4T6B4", cic:CICLE_v10000062mg -.,"endoplasmic reticulum membrane IEA, plasma membrane IEA",,,,,
CICLE_v10000069mg,-1.53775125132245,8.55204037181787e-06,18042686.0,V4V007, cic:CICLE_v10000069mg -.,signal transduction IEA,, PF05794 Tcp11 1.,T-complex protein 11 {ECO:0008006|Google:ProtNLM},,
CICLE_v10000103mg,-0.787687153062561,0.0139989905138546,18042773.0,"V4T3J1, V4TDJ1", cic:CICLE_v10000103mg -.,"cellulose biosynthetic process IEA, cell wall organization IEA, plasma membrane IEA","cellulose synthase (UDP-forming) activity IEA, zinc ion binding IEA"," PF14569 zf-UDP 1.,  PF03552 Cellulose_synt 1.","Cellulose synthase {ECO:0000256|RuleBase:RU361116}, cellulose synthase (UDP-forming) {ECO:0000256|ARBA:ARBA00012539}","2.4.1.12 {ECO:0000256|ARBA:ARBA00012539}, 2.4.1.12 {ECO:0000256|RuleBase:RU361116}", PS50089 ZF_RING_2 1.
CICLE_v10000120mg,1.51135267023309,0.0019927172084213,18040840.0,V4TB01, cic:CICLE_v10000120mg -.,"oxidation-dependent protein catabolic process IEA, protein quality control for misfolded or incompletely synthesized proteins IEA, mitochondrial matrix IEA, cellular response to oxidative stress IEA, mitochondrion organization IEA, chaperone-mediated protein complex assembly IEA","ATP-dependent peptidase activity IEA, sequence-specific DNA binding IEA, single-stranded DNA binding IEA, serine-type endopeptidase activity IEA, ATP binding IEA, ATP hydrolysis activity IEA"," PF02190 LON_substr_bdg 1.,  PF22667 Lon_lid 1.,  PF00004 AAA 1.,  PF05362 Lon_C 1.","Lon protease homolog, mitochondrial {ECO:0000256|HAMAP-Rule:MF_03120}",3.4.21.53 {ECO:0000256|HAMAP-Rule:MF_03120}," PS01046 LON_SER 1.,  PS51786 LON_PROTEOLYTIC 1.,  PS51787 LON_N 1."
CICLE_v10000198mg,1.65008645463128,5.42252276553724e-05,,V4T883, cic:CICLE_v10000198mg -.,defense response IEA,ADP binding IEA," PF00931 NB-ARC 1.,  PF23247 LRR_RPS2 1.",,,
CICLE_v10000217mg,0.842261122253922,0.0227246919150436,18043078.0,"V4T4Z6, V4V803, V4TEZ8", cic:CICLE_v10000217mg -.,membrane IEA,"protein serine/threonine kinase activity IEA, ATP binding IEA, protein tyrosine kinase activity IEA"," PF08263 LRRNT_2 1.,  PF23598 LRR_14 1.,  PF07714 PK_Tyr_Ser-Thr 1.","non-specific serine/threonine protein kinase {ECO:0000256|ARBA:ARBA00012513}, Protein kinase domain-containing protein {ECO:0000259|PROSITE:PS50011}",2.7.11.1 {ECO:0000256|ARBA:ARBA00012513}, PS50011 PROTEIN_KINASE_DOM 1.
CICLE_v10000220mg,-0.747644875068286,0.033957070554277,18041814.0,V4TCH9, cic:CICLE_v10000220mg -.,"nitric oxide biosynthetic process IEA, sulfur compound metabolic process IEA, response to light stimulus IEA, nitrate assimilation IEA","nitrate reductase (NADPH) activity IEA, molybdenum ion binding IEA, molybdopterin cofactor binding IEA, sulfite oxidase activity IEA, heme binding IEA"," PF00175 NAD_binding_1 1.,  PF00173 Cyt-b5 1.,  PF00174 Oxidored_molyb 1.,  PF00970 FAD_binding_6 1.,  PF03404 Mo-co_dimer 1.",Nitrate reductase {ECO:0000256|PIRNR:PIRNR000233},," PS00191 CYTOCHROME_B5_1 1.,  PS00559 MOLYBDOPTERIN_EUK 1.,  PS50255 CYTOCHROME_B5_2 1.,  PS51384 FAD_FR 1."
CICLE_v10000235mg,-1.51721711462907,0.000173940505940197,18040650.0,"V4UXQ5, V4SAM0", cic:CICLE_v10000235mg -.,"plasma membrane IEA, monoatomic ion transport IEA","metal ion binding IEA, ferric-chelate reductase (NADH) activity IEA"," PF08030 NAD_binding_6 2.,  PF08022 FAD_binding_8 1.,  PF01794 Ferric_reduct 1.",ferric-chelate reductase (NADH) {ECO:0000256|ARBA:ARBA00066905},1.16.1.7 {ECO:0000256|ARBA:ARBA00066905}, PS51384 FAD_FR 1.
CICLE_v10000254mg,1.02731909954187,0.026014713865164,18042296.0,V4T8C5, cic:CICLE_v10000254mg -.,"double-strand break repair via homologous recombination IEA, nucleotide-excision repair IEA, DNA replication IEA, male meiotic nuclear division IEA, telomere maintenance via telomerase IEA, DNA replication factor A complex IEA","zinc ion binding IEA, single-stranded telomeric DNA binding IEA, damaged DNA binding IEA"," PF08646 Rep_fac-A_C 1.,  PF00098 zf-CCHC 1.,  PF16900 REPA_OB_2 1.,  PF04057 Rep-A_N 1.,  PF01336 tRNA_anti-codon 1.",Replication protein A subunit {ECO:0000256|RuleBase:RU364130},, PS50158 ZF_CCHC 2.
CICLE_v10000256mg,1.02368471387126,0.0034907592753199,18041588.0,"V4TFU6, V4TAL6, V4SLE9, V4T5W5", cic:CICLE_v10000256mg -.,"amyloplast IEA, cellular response to glucose stimulus IEA, cellular response to sucrose stimulus IEA, cellular response to light stimulus IEA, cellular response to fructose stimulus IEA, glycogen biosynthetic process IEA, amylopectin biosynthetic process IEA, starch biosynthetic process IEA","1,4-alpha-glucan branching enzyme activity IEA, hydrolase activity, hydrolyzing O-glycosyl compounds IEA, cation binding IEA"," PF02922 CBM_48 1.,  PF00128 Alpha-amylase 1.,  PF02806 Alpha-amylase_C 1.","1,4-alpha-glucan branching enzyme {ECO:0000256|ARBA:ARBA00012541}",2.4.1.18 {ECO:0000256|ARBA:ARBA00012541},
